item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names
m2220732437,Yashica MIII,Fully working - just not using as much compared to my others will include strap if asking price is paid excellent condition and co,https://images.marktplaats.com/api/v1/listing-mp-p/images/b6/b66a7ddc-56ab-4056-9b4d-b7eef716834f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220732437,52.388768525637,4.8765492434266,70.0,Ophalen,Vandaag,Ophalen,Rol
m2220717777,Bronica ETRS met Zenzanon MC 75mm F/2.8,Bronica etrs met zenzanon mc 75mm f/2.8 Goed werkende 6x4.5 Middenformaat camera. Electronica en sluitertijden lopen goed. Camera ,https://images.marktplaats.com/api/v1/listing-mp-p/images/05/05db6361-8205-481f-b1db-5690e2e06a52?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220717777,51.372026812735,6.1703089535393,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Glen
m2220725610,Pentax ME met 50 mm lens,In werkende staat,https://images.marktplaats.com/api/v1/listing-mp-p/images/a0/a01f0ea1-05f2-47a8-81fc-a36a0a4ceaa6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220725610,52.087888948585,4.8659545337132,50.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Harald
m2220727334,Pentax fototoestel Zoom 70X,Retro fototoestel werkt nog.,https://images.marktplaats.com/api/v1/listing-mp-p/images/af/af2eb227-2bf0-44aa-80db-ebdcf49de5fd?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220727334,51.844162810367,4.9650305524874,0.0,Ophalen,Vandaag,Ophalen,Jelle
m2220718472,Nikon F80 met lens,"Goede staat, inc. Lens en draagband.",https://images.marktplaats.com/api/v1/listing-mp-p/images/ac/ac339bad-5c77-496f-8685-070888f42a6b?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220718472,52.372671126294,4.9042972744541,95.0,Verzenden,Vandaag,Verzenden,Smo
m2220725476,Canon EOS 300/300qd,"Analoge spiegelreflexcamera, met alle toebehoren: body, 28-200 zoomlens, flitser, cameratas, boekjes, batterijen en zelfs nog een ",https://images.marktplaats.com/api/v1/listing-mp-p/images/1d/1de20c1a-0e1c-4e2d-b0bb-5736c440b8f4?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220725476,52.386459871121,4.6423853622356,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Laura
m2220742798,Canon AE 1 analoge camera met extra sigma zoomlens 75-225 mm,Set met camera canon ae 1 met lens fd 35-70 mm 1:4 sigma one touch zoomlens f = 75-250 mm canon opwerkingen a braun staafflitser i,https://images.marktplaats.com/api/v1/listing-mp-p/images/cb/cb22b8b3-0f43-4206-a4c8-c7512b3d463f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220742798,53.100073079728,6.1156303592994,0.0,Ophalen,Vandaag,Ophalen,fokkema
m2220742286,2x canon ixus analoog aps,Toestellen lang niet gebruikt dus geen batterijen of rolletjes. Kan de werking dus ook niet controleren. Beschikbaarheid aps rolle,https://images.marktplaats.com/api/v1/listing-mp-p/images/4c/4c5e5c88-c05b-4f46-b5d3-82ef496311a6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220742286,53.21624261804,6.5461614937313,25.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Niek
m2220718744,Canon prima 5 analoge camera,"Maakt foto,s maar rolletje draait niet mee.iets voor verzamelaar of techneut ik verzend niet enkel iphalen . Kijk ook mijn andere ",https://images.marktplaats.com/api/v1/listing-mp-p/images/2d/2d5f178d-d9df-4d4a-8ade-6f7204d0c3ca?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220718744,51.886321383131,4.5566161354791,0.0,Ophalen,Vandaag,Ophalen,Jacky
m2220733236,Canon EOS 500 N met lens en tas,Analoge canon eos 500 n body met canon efs 18-55 mm lens en lowepro camera tas .,https://images.marktplaats.com/api/v1/listing-mp-p/images/ef/ef20cdd3-9e6a-4094-99f2-a69876ae4c13?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220733236,52.223481703477,4.8649528910881,55.0,Ophalen,Vandaag,Ophalen,Harry
m2220712042,Hasselblad 500c,"Hasselblad 500c spreekt voor zichzelf een hele fijne camera, maar helaas gebruik ik hem niet meer.",https://images.marktplaats.com/api/v1/listing-mp-p/images/18/18994e19-895b-4f4c-80d5-000d76595657?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220712042,52.033349536365,4.1820403570529,950.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Ellie Zand
m2220704870,Pentax Espio 738,"Een van de laatste analoge camera’s van pentax, die befaamd zijn voor hun lens coatings. Vaste prijs, laagbieders worden genegeerd",https://images.marktplaats.com/api/v1/listing-mp-p/images/ea/ea6c5f16-1599-4171-8ecd-a90e1e55b3f0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220704870,52.236917229735,5.990070214576,50.0,Verzenden,Vandaag,Verzenden,Piet
m2220703899,Pentax Zoom 70-X,Mooi chunky retro design met de befaamde lens coating van pentax uiteraard met als bonus een hele fijne originele strap. Vaste pri,https://images.marktplaats.com/api/v1/listing-mp-p/images/f4/f4590b52-62d4-49a8-91e2-b4c9033d2124?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220703899,52.236917229735,5.990070214576,60.0,Verzenden,Vandaag,Verzenden,Piet
m2220700464,Canon EOS 500n + Canon 28-80 F3.5-5.6,"Hierbij bied ik een canon eos 500n met passende canon 28-80 f3.5-5.6 Aan.  Recent werkend getest, bij ophalen te testen indien gew",https://images.marktplaats.com/api/v1/listing-mp-p/images/fb/fb851de4-bccb-49ec-9834-9338be58c81e?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220700464,52.265030090837,6.8071585760913,30.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Bram_Jacobs
m2220702765,Canon EOS 500n + Canon 28-70 f3.5-4.5 II,"Hierbij bied ik een canon eos 500n en canon 28-70 f3.5-4.5 Ii aan recent werkend getest, bij ophalen te testen indien gewenst. Let",https://images.marktplaats.com/api/v1/listing-mp-p/images/53/5357c050-e1e9-4020-b7e4-137935cb182a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220702765,52.265030090837,6.8071585760913,35.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Bram_Jacobs
m2163334947,Hasselblad 503CW body in originele doos,"Zeer fraaie hasselblad 503cw body , heeft cla gehad. Getest en perfect werkend. Foto's 9 en 10 zijn overbelicht, om de vernieu",https://images.marktplaats.com/api/v1/listing-mp-p/images/2a/2af339f1-6dba-49ca-9d88-f2d883401b3f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2163334947,52.541880754035,5.7130421887332,2199.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Wilco Jansen
